dataset,sta,freq_hz,snr
main,A03F,0.9077,4775.147
main,A03F,0.9343,4925.294
main,A03F,0.9617,4667.079
main,A03F,0.9899,4546.188
main,A03F,1.0189,4582.812
main,A03F,1.0488,4214.553
main,A03F,1.0796,3793.169
main,A03F,1.1112,3751.937
main,A03F,1.1438,3249.302
main,A03F,1.1773,3290.635
main,A03F,1.2119,3362.789
main,A03F,1.2474,3555.023
main,A03F,1.2840,3983.245
main,A03F,1.3216,3973.528
main,A03F,1.3604,4196.240
main,A03F,1.4003,4125.807
main,A03F,1.4414,4111.853
main,A03F,1.4836,4314.358
main,A03F,1.5271,4475.913
main,A03F,1.5719,4693.177
main,A03F,1.6180,4620.889
main,A03F,1.6655,4474.908
main,A03F,1.7143,4259.429
main,A03F,1.7646,3834.553
main,A03F,1.8163,3852.063
main,A03F,1.8696,3930.711
main,A03F,1.9244,4034.817
main,A03F,1.9808,4015.034
main,A03F,2.0389,3796.986
main,A03F,2.0987,3798.693
main,A03F,2.1602,3782.005
main,A03F,2.2236,3849.596
main,A03F,2.2888,4014.569
main,A03F,2.3559,4460.645
main,A03F,2.4250,4404.154
main,A03F,2.4961,4272.347
main,A03F,2.5693,4483.577
main,A03F,2.6447,4484.925
main,A03F,2.7222,4825.868
main,A03F,2.8020,5228.579
main,A03F,2.8842,5405.291
main,A03F,2.9688,5258.739
main,A03F,3.0558,5199.934
main,A03F,3.1454,5163.861
main,A03F,3.2377,5321.176
main,A03F,3.3326,5339.523
main,A03F,3.4304,5571.839
main,A03F,3.5310,6530.868
main,A03F,3.6345,6803.441
main,A03F,3.7411,6800.996
main,A03F,3.8508,7242.532
main,A03F,3.9637,7639.290
main,A03F,4.0799,8019.021
main,A03F,4.1996,8147.158
main,A03F,4.3227,8379.837
main,A03F,4.4495,8608.493
main,A03F,4.5800,9011.574
main,A03F,4.7143,9166.672
main,A03F,4.8525,9626.800
main,A03F,4.9948,10154.316
main,A03F,5.1413,10287.591
main,A03F,5.2921,10529.560
main,A03F,5.4472,10683.959
main,A03F,5.6070,10616.289
main,A03F,5.7714,11367.352
main,A03F,5.9406,11683.555
main,A03F,6.1148,11403.127
main,A03F,6.2942,11453.549
main,A03F,6.4787,10950.105
main,A03F,6.6687,10965.613
main,A03F,6.8643,11057.768
main,A03F,7.0656,10366.351
main,A03F,7.2728,10290.927
main,A03F,7.4860,9739.791
main,A03F,7.7056,8936.320
main,A03F,7.9315,8374.651
main,A03F,8.1641,7654.665
main,A03F,8.4035,7167.195
main,A03F,8.6499,6816.530
main,A03F,8.9036,6404.210
main,A03F,9.1647,6406.873
main,A03F,9.4334,6539.359
main,A03F,9.7101,6483.244
main,A03F,9.9948,6462.635
main,A03F,10.2879,6427.985
main,A03F,10.5896,6676.754
main,A03F,10.9001,6658.532
main,A03F,11.2198,6650.478
main,A03F,11.5488,6668.646
main,A03F,11.8874,6557.596
