   1   1.011       125.4       38.39       61.24       71.73       109.5       2.722       8.074       1.256       1.275       6.535      0.2813    
   1    Infinity   0.000       30.75       55.17       76.01       112.5       1.915       9.065       1.254       1.161       6.869      0.3073    
   1   1.494       9087.       47.25       56.43       72.96       98.03       2.231       9.978       1.245       1.167       6.575      0.2079    
   1    Infinity   0.000       44.67       52.47       74.62       125.4       2.061       9.626       1.282       1.268       6.496      0.2214    
   1   1.012       138.1       29.67       51.95       90.05       115.6       3.262       9.614       1.251       1.227       6.485      0.2714    
   1  0.8829       4359.       37.50       56.50       70.09       110.4       3.199       8.270       1.244       1.150       6.825      0.2286    
   1    Infinity   0.000       36.48       54.71       56.90       124.1       2.503       9.773       1.255       1.222       6.609      0.2302    
   1  0.6479       4768.       35.40       55.42       71.08       112.3       3.364       9.540       1.325       1.224       6.175      0.1792    
   1  0.5438       7245.       42.94       60.07       80.11       109.5       2.120       9.661       1.249       1.234       7.010      0.2375    
   1  0.6491       5256.       36.76       59.69       85.13       89.72       2.187       8.427       1.252       1.287       6.796      0.2313    
   1   1.024       252.3       36.87       52.35       80.42       102.6       1.601       8.627       1.284       1.220       7.398      0.2759    
   1  0.3711       3784.       31.08       54.10       79.26       102.0       1.442       9.890       1.338       1.258       6.439      0.2162    
   1   1.015       157.3       44.04       49.81       82.24       102.6       2.588       9.177       1.322       1.191       6.194      0.2383    
   1   1.084       5242.       43.75       54.32       88.73       104.5       2.121       6.976       1.280       1.241       6.002      0.1165    
   1  0.6852       4696.       36.77       51.82       76.68       107.0       1.512       9.015       1.242       1.138       6.192      0.1716    
   1    Infinity   0.000       38.24       52.27       90.77       121.5       1.990       9.209       1.265       1.164       6.121      0.2513    
   1   1.019       238.7       27.93       58.88       94.43       107.8       2.333       8.720       1.263       1.204       6.142      0.2150    
   1  0.6050       6589.       44.53       53.84       73.46       108.5       2.396       9.197       1.272       1.234       6.436      0.2027    
   1    Infinity   0.000       34.82       49.24       67.71       112.7       2.208       7.277       1.258       1.216       7.208      0.2018    
   1   1.012       128.1       37.20       51.30       91.45       111.2       2.979       6.494       1.271       1.278       6.352      0.1919    
   1   1.017       205.2       40.80       59.75       76.48       101.3       2.411       7.801       1.256       1.209       6.190      0.2068    
   1   1.011       123.9       36.94       59.38       82.81       108.5       1.608       7.819       1.342       1.219       6.596      0.2042    
   1   1.016       167.9       38.76       53.09       78.89       99.89       2.639       8.957       1.268       1.143       6.419      0.2571    
   1  0.6589       4998.       34.68       58.94       74.16       104.6       1.781       9.179       1.245       1.224       6.877      0.1939    
   1   1.012       128.1       36.40       55.31       79.87       95.07       2.427       8.328       1.340       1.212       6.422      0.2499    
   1   1.024       467.5       37.69       54.49       73.24       106.4       3.166       10.72       1.288       1.210       6.386      0.2781    
   1   1.926       6389.       35.02       57.07       76.11       96.90       2.686       10.26       1.268       1.286       6.326      0.1322    
   1   1.007       83.43       36.51       56.22       80.97       105.7       2.188       5.827       1.258       1.235       6.713      0.2152    
   1   1.021       248.9       35.31       50.27       62.54       101.1       1.631       9.453       1.225       1.237       6.403      0.2574    
   1   1.476       5560.       36.54       51.61       78.30       94.27       1.865       10.34       1.266       1.260       6.231      0.1924    
   1   1.389       5343.       32.02       58.29       82.14       95.03       2.818       9.843       1.233       1.197       6.486      0.1989    
   1  0.6094       5623.       38.95       56.95       82.51       113.5       3.107       9.911       1.297       1.241       6.494      0.2246    
   1   1.010       105.4       37.21       52.86       90.87       91.02       2.151       7.803       1.250       1.228       6.301      0.2422    
   1    Infinity   0.000       35.65       54.84       77.40       125.7       2.068       8.111       1.311       1.223       6.266      0.2239    
   1   1.010       110.4       32.72       61.09       80.04       117.6       2.627       8.265       1.276       1.186       6.336      0.2258    
   1  0.3431       5228.       39.31       54.64       80.38       111.5       1.835       8.906       1.314       1.262       6.161      0.1787    
   1   1.019       218.1       36.84       49.68       70.63       101.9       2.585       7.395       1.312       1.210       6.500      0.1928    
   1  0.6547       5758.       36.32       56.50       69.15       95.70       2.588       9.443       1.260       1.232       6.132      0.2160    
   1    Infinity   0.000       29.36       56.13       71.03       112.9       2.204       8.126       1.277       1.229       6.283      0.1788    
   1   1.060       5632.       37.64       55.75       81.87       98.55       2.711       8.789       1.278       1.224       7.195      0.2035    
   1   1.320       5888.       38.26       53.43       92.52       101.2       2.918       9.604       1.251       1.175       6.021      0.1719    
   1   1.406       6833.       40.48       53.82       89.28       108.4       1.932       10.63       1.227       1.233       6.138      0.1852    
   1  0.4734       5322.       36.33       59.72       92.40       100.8       2.662       8.784       1.298       1.189       6.472      0.2164    
   1   1.021       298.0       38.16       55.43       69.51       109.7       1.431       9.432       1.278       1.230       6.407      0.2179    
   1  0.8217       5071.       35.71       52.98       79.40       115.7       2.662       10.81       1.210       1.203       6.475      0.2049    
   1   1.024       256.5       36.67       56.85       78.10       107.1       2.381       9.381       1.316       1.252       6.451      0.2493    
   1    Infinity   0.000       36.56       56.79       67.19       111.4       2.545       7.250       1.251       1.212       6.409      0.2242    
   1  0.8957       5400.       39.02       49.85       89.63       110.2       2.210       10.00       1.317       1.202       6.687      0.1866    
